Date : 2024-12-11 09:22:34
Directory : c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass
Total : 89 files,  20034 codes, 424 comments, 560 blanks, all 21018 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\editpage.tsx                                      | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\edituser\[id]\edituser.tsx                        | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\palmares.tsx                                      | TypeScript JSX     |          0 |         26 |          4 |         30 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\reglementation.tsx                                | TypeScript JSX     |          0 |         26 |          4 |         30 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\scancode.tsx                                      | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\settings.tsx                                      | TypeScript JSX     |         16 |          0 |          1 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\shopping\[id]\shopping.tsx                        | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\userdetails\[id]\userdetails.tsx                  | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\userpage.tsx                                      | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\viewactivty.tsx                                   | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\app\pages\viewusers.tsx                                     | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\navigation\AppNavigator.js                           | JavaScript         |         13 |          2 |          4 |         19 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\ActivityScreen.js                            | JavaScript         |         71 |          0 |          8 |         79 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminControl.js                              | JavaScript         |         33 |          0 |          5 |         38 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\Addactivity.js        | JavaScript         |        302 |          0 |         20 |        322 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\AddactivityMobile.js  | JavaScript         |        308 |          0 |         20 |        328 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\EditActivityMobile.js | JavaScript         |        347 |          0 |         24 |        371 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\EditActivityScreen.js | JavaScript         |        329 |          0 |         21 |        350 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\EditActivtyPage.js    | JavaScript         |         96 |          0 |          4 |        100 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditActivity\ViewActivities.js     | JavaScript         |         96 |          0 |          6 |        102 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditHome\EditActivity.js           | JavaScript         |         70 |          0 |         10 |         80 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditHome\EditHome.js               | JavaScript         |        178 |          2 |          9 |        189 |
| c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPage.js                        | JavaScript         |        103 |          0 |          4 |        107 |
