"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Log", "comment", "blank", "total"
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditHome\EditActivity.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditHome\EditHome.js", "JavaScript", 178, 0, 0, 0, 0, 0, 2, 9, 189
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPage.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 4, 107
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\AddPalmares.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 7, 79
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\EditPalmares.js", "JavaScript", 101, 0, 0, 0, 0, 0, 0, 9, 110
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\EditPalmaresPage.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditPalmares\ViewPalmares.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 7, 78
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\EditUser.js", "JavaScript", 279, 0, 0, 0, 0, 0, 0, 10, 289
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\EditUserPage.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 7, 103
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\Register.js", "JavaScript", 326, 0, 0, 0, 0, 0, 7, 19, 352
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\UserDetails.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 7, 129
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\AdminEdit\EditUsers\ViewUsers.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 9, 211
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\AuthLoadingScreen.js", "JavaScript", 106, 0, 0, 0, 0, 0, 4, 12, 122
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Loading.js", "JavaScript", 50, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Login.js", "JavaScript", 146, 0, 0, 0, 0, 0, 2, 14, 162
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Auth\Welcome.js", "JavaScript", 94, 0, 0, 0, 0, 0, 1, 14, 109
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\EditActivity.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 10, 80
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\EditActivityScreen.js", "JavaScript", 157, 0, 0, 0, 0, 0, 0, 14, 171
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\LoginScreen.js", "JavaScript", 55, 0, 0, 0, 0, 0, 2, 7, 64
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\About.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 7, 143
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Activity.js", "JavaScript", 237, 0, 0, 0, 0, 0, 4, 21, 262
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Billet.js", "JavaScript", 159, 0, 0, 0, 0, 0, 0, 12, 171
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Home.js", "JavaScript", 268, 0, 0, 0, 0, 0, 1, 14, 283
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Palmares.js", "JavaScript", 132, 0, 0, 0, 0, 0, 0, 9, 141
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Profile.js", "JavaScript", 268, 0, 0, 0, 0, 0, 0, 11, 279
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Reglementation.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\ScanCodeScreen.js", "JavaScript", 133, 0, 0, 0, 0, 0, 3, 12, 148
"c:\Users\tyrec\OneDrive\Documents\Client1-joan\MorneBourgMass\assets\screens\Main\Settings.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 8, 110
